,,,Isotope,,,Ru100(LR),Ru101(LR),Ru102(LR),Ru104(LR),Ru96(LR),Ru98(LR),Ru99(LR),Rh103(LR),Pd102(LR),Pd104(LR),Pd105(LR),Pd106(LR),Pd108(LR),Pd110(LR),In115(LR),Re185(LR),Re187(LR),Os189(LR),Ir191(LR),Ir193(LR),Pt190(LR),Pt192(LR),Pt194(LR),Pt195(LR),Pt196(LR),Pt198(LR),Mo95(LR),Zr90(LR),Sn118(LR),Hg200(LR),Cd111(LR),Pd106/Pd105(LR),Re185/Re187(LR),Ir191/Ir193(LR),Pt194/Pt195(LR),
Calib_2-2,,,Concentration AVG,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,
,,,Concentration RSD,[%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calib_3-2,,,Concentration AVG,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,
,,,Concentration RSD,[%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spike_1-2,,,Concentration AVG,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,
,,,Concentration RSD,[%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spike_2-2,,,Concentration AVG,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,
,,,Concentration RSD,[%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flags:   S=Amplifier Skipped    D=Intensity Defocussed   O=Overflow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
